Ranking,Product,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,Global_Sales
122,3887,PS3,2011.0,Sports,Electronic Arts,0.69,3.54,5.49
123,3896,DS,2005.0,Misc,Nintendo,1.37,2.28,5.47
124,3955,PS3,2010.0,Action,Take-Two Interactive,2.29,2.14,5.41
125,3967,PS4,2014.0,Sports,Electronic Arts,0.65,3.52,5.4
126,4047,Wii,2010.0,Platform,Nintendo,2.67,1.51,5.4
127,2324,PS3,2011.0,Role-Playing,Bethesda Softworks,2.09,2.22,5.38
128,4065,NES,1986.0,Action,Nintendo,3.07,0.76,5.34
129,4390,PS3,2012.0,Action,Ubisoft,2.16,2.1,5.33
130,4399,XB,2001.0,Shooter,Microsoft Game Studios,4.08,1.07,5.27
131,4405,GBA,2004.0,Role-Playing,Nintendo,2.11,1.3,5.26
132,4415,PS2,2002.0,Role-Playing,Sony Computer Entertainment,2.98,0.98,5.25
133,4452,GB,2000.0,Role-Playing,Nintendo,2.09,1.28,5.24
134,4459,X360,2009.0,Shooter,Microsoft Game Studios,3.56,1.11,5.22
135,3955,X360,2010.0,Action,Take-Two Interactive,3.03,1.62,5.2
136,4470,GC,2002.0,Platform,Nintendo,3.29,1.03,5.17
137,4477,SNES,1992.0,Fighting,Capcom,2.03,0.68,5.17
138,4491,PC,2004.0,Role-Playing,Activision,0.06,5.09,5.15
139,4619,PS,1999.0,Action,GT Interactive,2.55,2.3,5.14
140,4673,X360,2010.0,Sports,Microsoft Game Studios,3.21,1.46,5.12
141,4692,X360,2011.0,Shooter,Microsoft Game Studios,3.32,1.33,5.12
142,4702,X360,2006.0,Shooter,Microsoft Game Studios,2.9,1.56,5.01
143,4712,PS2,2001.0,Action,Konami Digital Entertainment,2.01,1.65,4.96
144,5429,GEN,1992.0,Platform,Sega,3.67,0.98,4.94
145,5430,PS3,2008.0,Action,Konami Digital Entertainment,2.16,1.43,4.94
146,5453,PS,1998.0,Action,Konami Digital Entertainment,2.61,1.5,4.94
147,5493,PS3,2013.0,Action,Sony Computer Entertainment Europe,1.98,1.87,4.91
148,5510,PS2,2006.0,Role-Playing,Square Enix,1.54,0.0,4.88
149,5512,PS3,2008.0,Platform,Sony Computer Entertainment,2.3,1.68,4.85
150,5726,DS,2009.0,Role-Playing,Nintendo,0.54,0.57,4.79
151,5740,Wii,2007.0,Action,LucasArts,3.0,1.34,4.78
152,5758,PS,1998.0,Action,Virgin Interactive,1.54,1.21,4.77
153,6215,PS,1996.0,Fighting,Sony Computer Entertainment,1.85,1.55,4.71
154,6233,DS,2006.0,Simulation,505 Games,2.57,1.59,4.69
155,6271,PS4,2014.0,Shooter,Activision,2.04,1.68,4.63
156,254,NES,1988.0,Puzzle,Nintendo,2.44,0.57,4.58
157,6287,PS3,2009.0,Action,Ubisoft,2.08,1.6,4.57
158,6310,N64,1999.0,Fighting,Nintendo,2.42,0.49,4.55
159,6424,X360,2007.0,Adventure,Ubisoft,2.69,1.35,4.55
160,6431,PS3,2011.0,Action,Warner Bros. Interactive Entertainment,2.21,1.57,4.53
161,6466,X360,2009.0,Racing,Microsoft Game Studios,2.45,1.57,4.52
162,6471,PSP,2008.0,Role-Playing,Capcom,0.39,0.47,4.51
163,6504,GBA,2001.0,Platform,Nintendo,2.57,1.02,4.5
164,6507,GBA,2001.0,Racing,Nintendo,2.15,1.34,4.49
165,535,GBA,2001.0,Platform,Nintendo,2.63,0.91,4.48
166,6646,N64,1999.0,Strategy,Nintendo,2.61,1.02,4.47
167,3267,PS3,2008.0,Shooter,Activision,2.23,1.53,4.45
168,6678,PS2,2001.0,Platform,Universal Interactive,1.7,1.88,4.44
169,2285,PS3,2014.0,Misc,Sony Computer Entertainment,1.62,2.06,4.44
170,6694,PS3,2009.0,Role-Playing,Square Enix,1.43,1.02,4.4
171,6715,GB,1989.0,Puzzle,Nintendo,1.79,0.79,4.38
172,6720,GB,1999.0,Misc,Nintendo,2.48,0.92,4.35
173,4390,X360,2012.0,Action,Ubisoft,2.57,1.4,4.35
174,6721,PS,2000.0,Role-Playing,SquareSoft,1.33,0.63,4.35
175,6770,PS2,2003.0,Role-Playing,Electronic Arts,1.57,0.89,4.34
176,6815,N64,1999.0,Platform,Nintendo,2.73,0.65,4.32
177,6287,X360,2009.0,Action,Ubisoft,2.54,1.28,4.32
178,7042,DS,2007.0,Puzzle,Nintendo,1.0,2.03,4.31
179,7101,PS,1997.0,Action,Eidos Interactive,1.89,2.02,4.3
180,7141,PS2,,Sports,Electronic Arts,3.49,0.21,4.29
181,7143,PS2,2004.0,Role-Playing,Square Enix,0.53,0.62,4.27
182,7373,PC,2012.0,Role-Playing,Activision,1.99,1.76,4.26
183,624,GBA,2003.0,Platform,Nintendo,2.4,1.03,4.26
184,7381,WiiU,2012.0,Platform,Nintendo,1.9,1.07,4.26
185,7384,GB,1994.0,Platform,Nintendo,2.04,0.8,4.26
186,2518,X360,2012.0,Action,Electronic Arts,0.89,2.85,4.25
187,7532,DS,2007.0,Action,Nintendo,1.56,1.5,4.24
188,7533,SNES,1995.0,Platform,Nintendo,1.72,0.61,4.22
189,7573,3DS,2013.0,Simulation,Nintendo,0.79,1.66,4.22
190,2795,DS,2008.0,Sports,Sega,1.34,2.03,4.21
191,7600,PS2,2003.0,Shooter,Electronic Arts,1.62,1.83,4.21
192,8235,GB,1992.0,Platform,Nintendo,2.22,0.5,4.21
193,8275,X360,2010.0,Role-Playing,Microsoft Game Studios,2.94,0.91,4.21
194,2877,XOne,2014.0,Shooter,Activision,2.63,1.25,4.21
195,8923,PC,1996.0,Simulation,Microsoft Game Studios,2.64,1.39,4.2
196,8933,PS2,2006.0,Misc,RedOctane,3.12,0.52,4.2
197,8962,PS3,2009.0,Action,Capcom,1.61,1.17,4.19
198,515,XOne,2014.0,Action,Take-Two Interactive,2.18,1.65,4.17
199,9064,PSP,2006.0,Action,Take-Two Interactive,1.39,1.66,4.17
200,9080,PS3,2010.0,Sports,Electronic Arts,0.49,2.7,4.17
201,123,GB,1999.0,Platform,Nintendo,2.79,1.07,4.16
204,3165,WiiU,2014.0,Fighting,Nintendo,2.12,0.87,4.12
213,5740,DS,2007.0,Action,LucasArts,2.37,1.26,4.02
216,6715,NES,1990.0,Puzzle,Nintendo,2.15,0.49,3.98
219,6424,PS3,2007.0,Adventure,Ubisoft,1.57,1.64,3.96
220,3967,PS3,2014.0,Sports,Electronic Arts,0.47,2.57,3.95
223,6431,X360,2011.0,Action,Warner Bros. Interactive Entertainment,2.45,1.07,3.9
237,5493,PS4,2014.0,Action,Sony Computer Entertainment,1.46,1.53,3.73
245,2877,PS3,2014.0,Shooter,Activision,1.26,1.59,3.65
257,3645,X360,2013.0,Sports,Electronic Arts,0.75,2.4,3.53
258,2877,X360,2014.0,Shooter,Activision,2.26,0.97,3.53
269,3112,3DS,2011.0,Action,Nintendo,1.66,1.04,3.45
276,3887,X360,2011.0,Sports,Electronic Arts,0.69,2.29,3.44
288,3547,XOne,2015.0,Role-Playing,Bethesda Softworks,2.01,1.03,3.35
298,2285,PS4,2014.0,Misc,Sony Computer Entertainment Europe,1.13,1.53,3.3
311,2324,PC,2011.0,Role-Playing,Bethesda Softworks,0.94,1.71,3.18
350,1945,PS4,2013.0,Shooter,Activision,1.46,1.16,2.98
361,2849,PS2,2006.0,Action,Take-Two Interactive,1.28,1.15,2.9
367,9080,X360,2010.0,Sports,Electronic Arts,0.58,1.97,2.89
372,8962,X360,2009.0,Action,Capcom,1.73,0.77,2.88
379,2874,XOne,2015.0,Shooter,Electronic Arts,1.59,1.0,2.86
411,6271,XOne,2014.0,Shooter,Activision,1.75,0.75,2.69
417,2371,XOne,2015.0,Sports,Electronic Arts,0.72,1.73,2.65
450,3967,X360,2014.0,Sports,Electronic Arts,0.64,1.66,2.55
494,3645,PS4,2013.0,Sports,Electronic Arts,0.5,1.52,2.38
506,1945,XOne,2013.0,Shooter,Activision,1.53,0.63,2.35
514,2371,PS3,2015.0,Sports,Electronic Arts,0.33,1.62,2.34
534,3277,PC,2011.0,Shooter,Electronic Arts,0.73,1.17,2.29
576,5740,X360,2007.0,Action,LucasArts,1.25,0.71,2.16
593,5512,PSP,2009.0,Platform,Sony Computer Entertainment,0.52,1.02,2.12
644,2285,XOne,2014.0,Misc,Microsoft Game Studios,1.17,0.62,1.98
652,3865,X360,2010.0,Sports,505 Games,1.43,0.39,1.96
659,5740,PS3,2007.0,Action,LucasArts,0.84,0.8,1.95
681,2521,X360,2010.0,Simulation,Electronic Arts,1.04,0.71,1.91
696,7101,PC,1997.0,Action,Eidos Interactive,0.75,1.03,1.88
698,3657,XB,2004.0,Racing,Electronic Arts,1.13,0.66,1.87
715,2285,PSV,2014.0,Misc,Sony Computer Entertainment Europe,0.23,0.65,1.85
737,8933,X360,2007.0,Misc,Activision,1.65,0.02,1.8
746,2261,GB,2000.0,Platform,Nintendo,0.85,0.59,1.8
754,6694,X360,2010.0,Role-Playing,Square Enix,1.04,0.56,1.78
762,3967,XOne,2014.0,Sports,Electronic Arts,0.49,1.16,1.76
816,2521,PS3,2010.0,Simulation,Electronic Arts,0.6,0.8,1.69
828,7373,PS3,2013.0,Role-Playing,Activision,0.58,0.68,1.68
836,2261,GBA,2003.0,Platform,Nintendo,0.98,0.39,1.67
840,1940,X360,2011.0,Misc,Ubisoft,1.21,0.33,1.66
863,3267,Wii,2008.0,Shooter,Activision,0.98,0.48,1.62
873,6271,X360,2014.0,Shooter,Activision,1.07,0.4,1.6
875,518,XB,2005.0,Action,Take-Two Interactive,1.03,0.5,1.6
924,4047,3DS,2013.0,Platform,Nintendo,0.6,0.51,1.53
969,978,PS3,2015.0,Shooter,Activision,0.4,0.79,1.47
1001,978,X360,2015.0,Shooter,Activision,0.91,0.39,1.44
1006,4415,PS3,2013.0,Role-Playing,Square Enix,0.74,0.3,1.44
1024,7373,PS4,2014.0,Role-Playing,Activision,0.4,0.72,1.43
1026,6271,PS3,2014.0,Shooter,Activision,0.55,0.54,1.42
1039,876,PC,2011.0,Shooter,Activision,0.34,0.8,1.41
1047,3436,XB,2003.0,Racing,Electronic Arts,0.89,0.45,1.4
1065,2371,X360,2015.0,Sports,Electronic Arts,0.45,0.83,1.39
1128,948,PC,,Shooter,Activision,0.48,0.66,1.34
1162,3403,GC,2006.0,Action,Nintendo,0.94,0.3,1.3
1219,979,PC,2012.0,Shooter,Activision,0.52,0.57,1.25
1270,3667,XB,2002.0,Shooter,Electronic Arts,0.82,0.35,1.22
1276,2521,Wii,2010.0,Simulation,Electronic Arts,0.5,0.6,1.22
1318,7373,X360,2013.0,Role-Playing,Activision,0.73,0.36,1.19
1381,948,Wii,2010.0,Shooter,Activision,0.67,0.39,1.15
1616,6678,XB,2002.0,Platform,Universal Interactive,0.48,0.47,1.01
1632,3547,PC,2015.0,Role-Playing,Bethesda Softworks,0.41,0.52,1.01
1640,2829,NES,1984.0,Puzzle,Namco Bandai Games,0.22,0.07,1.0
1656,9080,PSP,2010.0,Sports,Electronic Arts,0.11,0.57,0.99
1663,3436,GC,2003.0,Racing,Electronic Arts,0.57,0.39,0.99
1700,3645,XOne,2013.0,Sports,Electronic Arts,0.34,0.54,0.98
1705,3629,X360,2012.0,Misc,Ubisoft,0.74,0.16,0.98
1735,7600,XB,2003.0,Shooter,Electronic Arts,0.62,0.3,0.96
1771,2253,PC,2007.0,Shooter,Activision,0.0,0.92,0.94
1802,3657,GC,2004.0,Racing,Electronic Arts,0.57,0.32,0.93
1883,7141,XB,2003.0,Sports,Electronic Arts,0.84,0.02,0.89
1898,515,PC,2015.0,Action,Take-Two Interactive,0.3,0.52,0.89
1905,9080,Wii,2010.0,Sports,Electronic Arts,0.21,0.57,0.89
1946,2253,DS,2007.0,Shooter,Activision,0.79,0.02,0.87
2122,518,PC,2005.0,Action,Take-Two Interactive,0.0,0.75,0.8
2140,9064,PS2,2007.0,Action,Take-Two Interactive,0.64,0.02,0.8
2204,4390,PC,2012.0,Action,Ubisoft,0.23,0.43,0.77
2262,6424,PC,2008.0,Adventure,Ubisoft,0.01,0.68,0.75
2290,3267,DS,2008.0,Shooter,Activision,0.47,0.21,0.75
2349,999,PC,2009.0,Shooter,Activision,0.01,0.65,0.73
2352,876,Wii,2011.0,Shooter,Activision,0.49,0.17,0.73
2359,1501,PC,2008.0,Action,Take-Two Interactive,0.01,0.65,0.72
2419,7143,3DS,2015.0,Role-Playing,Square Enix,0.0,0.0,0.71
2477,3967,PSV,2014.0,Sports,Electronic Arts,0.11,0.39,0.69
2621,3887,Wii,2011.0,Sports,Electronic Arts,0.13,0.43,0.65
2692,2521,3DS,2011.0,Simulation,Electronic Arts,0.25,0.3,0.62
2711,9080,PS2,2010.0,Sports,Electronic Arts,0.09,0.24,0.62
2718,3967,Wii,2014.0,Sports,Electronic Arts,0.2,0.38,0.62
2799,1945,PC,2013.0,Shooter,Activision,0.19,0.34,0.6
2830,2518,Wii,2012.0,Action,Electronic Arts,0.16,0.38,0.59
2856,9080,DS,2010.0,Sports,Electronic Arts,0.11,0.41,0.59
2921,2521,DS,2010.0,Simulation,Electronic Arts,0.32,0.21,0.57
3138,7373,XOne,2014.0,Role-Playing,Activision,0.29,0.2,0.52
3212,1940,PS3,2011.0,Misc,Ubisoft,0.27,0.17,0.52
3213,948,DS,2010.0,Shooter,Activision,0.44,0.04,0.52
3395,3667,GC,2002.0,Shooter,Electronic Arts,0.38,0.1,0.48
3409,6678,GC,2002.0,Platform,Universal Interactive,0.38,0.1,0.48
3433,3865,PS3,2010.0,Sports,505 Games,0.23,0.17,0.48
3528,6287,PC,2010.0,Action,Ubisoft,0.01,0.37,0.47
3592,5758,N64,1999.0,Action,Virgin Interactive,0.32,0.07,0.46
3757,2874,PC,2015.0,Shooter,Electronic Arts,0.11,0.3,0.44
3789,3887,PSP,2011.0,Sports,Electronic Arts,0.1,0.21,0.43
3791,6431,PC,2011.0,Action,Warner Bros. Interactive Entertainment,0.13,0.23,0.43
3898,7141,GC,2003.0,Sports,Electronic Arts,0.33,0.08,0.42
3990,3645,PSV,2013.0,Sports,Electronic Arts,0.09,0.21,0.41
4120,2518,WiiU,2012.0,Action,Electronic Arts,0.15,0.21,0.39
4180,2518,PSV,2012.0,Action,Electronic Arts,0.0,0.25,0.39
4203,3887,PC,2011.0,Sports,Electronic Arts,0.03,0.27,0.39
4370,3967,3DS,2014.0,Sports,Electronic Arts,0.07,0.27,0.37
4475,3629,PS3,2012.0,Misc,Ubisoft,0.21,0.1,0.36
4500,3657,GBA,2004.0,Racing,Electronic Arts,0.25,0.1,0.35
4505,3645,PC,2013.0,Sports,Electronic Arts,0.01,0.3,0.35
4515,2285,WiiU,2016.0,Misc,Microsoft Game Studios,0.15,0.07,0.35
4540,3645,Wii,2013.0,Sports,Electronic Arts,0.0,0.31,0.35
4556,979,WiiU,2012.0,Shooter,Activision,0.17,0.15,0.35
4580,7600,GC,2003.0,Shooter,Electronic Arts,0.27,0.07,0.34
4742,2877,PC,2014.0,Shooter,Activision,0.11,0.19,0.34
4775,2518,PC,2012.0,Action,Electronic Arts,0.02,0.25,0.34
4906,3887,3DS,2011.0,Sports,Electronic Arts,0.07,0.21,0.32
4945,3629,WiiU,2012.0,Misc,Ubisoft,0.18,0.11,0.32
4995,6431,WiiU,2012.0,Action,Warner Bros. Interactive Entertainment,0.14,0.15,0.31
5131,2518,PSP,2012.0,Action,Electronic Arts,0.04,0.16,0.3
5201,4390,WiiU,2012.0,Action,Ubisoft,0.16,0.11,0.3
5220,1945,WiiU,2013.0,Shooter,Activision,0.19,0.07,0.3
5700,8275,PC,2011.0,Role-Playing,Microsoft Game Studios,0.07,0.14,0.26
5714,7141,GBA,2003.0,Sports,Electronic Arts,0.18,0.07,0.25
5913,3967,PC,2014.0,Sports,Electronic Arts,0.0,0.22,0.25
5970,3436,GBA,2003.0,Racing,Electronic Arts,0.17,0.07,0.24
6022,2518,3DS,2012.0,Action,Electronic Arts,0.05,0.16,0.24
6663,3645,3DS,2013.0,Sports,Electronic Arts,0.0,0.19,0.21
7036,3645,PSP,2013.0,Sports,Electronic Arts,0.0,0.13,0.19
7052,978,PC,2015.0,Shooter,Activision,0.0,0.18,0.19
7951,3267,PC,2008.0,Shooter,Activision,0.02,0.11,0.16
8096,9080,PC,2010.0,Sports,Electronic Arts,0.0,0.11,0.15
8136,2371,PC,2015.0,Sports,Electronic Arts,0.03,0.11,0.15
9254,3657,DS,2005.0,Racing,Electronic Arts,0.09,0.02,0.11
9829,518,X360,2008.0,Action,Take-Two Interactive,0.07,0.02,0.1
10818,2404,PC,2007.0,Shooter,Microsoft Game Studios,0.01,0.05,0.08
11226,3887,PS2,2011.0,Sports,Electronic Arts,0.0,0.02,0.07
11666,3657,PC,2004.0,Racing,Electronic Arts,0.0,0.05,0.07
11950,5453,GB,2000.0,Action,Konami Digital Entertainment,0.0,0.0,0.06
12096,8962,PC,2009.0,Action,Capcom,0.01,0.03,0.06
12676,5758,GC,2003.0,Action,Capcom,0.03,0.01,0.05
13227,3436,PC,2003.0,Racing,Electronic Arts,0.0,0.03,0.04
13734,629,PC,2003.0,Action,Take-Two Interactive,0.0,0.02,0.03
13886,4399,PC,2003.0,Shooter,Microsoft Game Studios,0.01,0.02,0.03
15784,4702,PC,2007.0,Shooter,Microsoft Game Studios,0.0,0.01,0.02
16096,1012,PC,2002.0,Action,Take-Two Interactive,0.0,0.01,0.01
