gender,age,remuneration (k£),spending_score (1-100),loyalty_points,education,language,platform,product,review,summary
Female,57,16.4,15,179,PhD,EN,Web,1497,This is a campaign specific DM screen meant to work with The Storm Kings Thunder adventure.  It is not a general use screen.  The reason I'm  giving it 5 stars is that every named place on the map also has the page number of locations entry in TSKT. That feature has saved me time in Adventures League play. Other AL DMs will tell you how precious every minute is in the standard 2 hour format.,Not a general DM screen
Female,26,16.4,77,721,graduate,EN,Web,1501,"This is one of the worst games I have ever played.  You basically have to come up with puns on the spot.  Not only are puns generally pretty bad, you have to generate puns that are worse than your run of the mill groaners.  I can't imagine many people enjoying it, but it is slow paced and generally does not generate any level of enjoyment unless you're very skilled with the English language.",Very weak game
Male,39,16.4,13,150,graduate,EN,Web,1506,"It sounded like a really amazing concept, but when we tried to play it, it fell completely flat. Maybe if we were fans of the television show that the game is originally based upon? But having no ""prior experience"", we tried three rounds (even using the ""hints"" to get people started) and everyone just looked at each other and we decided to play something else. This was a high IQ group, and we often use puns in day to day banter, but the game just fell completely flat. :-(

Sad, because the quality of the box set is very nice, and comes with everything needed to play (pads, pencils, etc.).",Fell completely flat...
Male,24,16.4,79,701,graduate,EN,Web,123,Very fun game for my family,Five Stars
Female,37,17.22,35,417,graduate,EN,Web,486,"Pretty good book with a variety of unique card sleights (palming, manipulating cards in the deck, etc.). These sleights are the 'real work', so it will take a little perseverance. Many of these utility sleights are ones that you ought to know if you want to be a card sleight-of-hand worker.
The instructions are generally clear, but sometimes a detail here and there gets a little confusing. There's a fair number of photos showing how to do many of the sleights.
Sometimes a sleight is a little more complicated than it needs to be. My recommendation is to follow the author's steps in slow-motion with a deck of cards in hand. After you are familiar with the overall effect, you can make adjustments based on what your comfortable with. There may also be other newer methods for learning these sleights if you want to invest in newer card sleight instruction (such as the Daryl Encyclopedia of Card Sleights videos, etc.).
Right now, I'm working on the side steal sleight. He gives a T. Nelson Downs version which has some merit, but it is much more complicated than necessary. The author's own version is a little more do-able. But even the author's method becomes a little too fidgety, so I've made minor modifications to make it work well for me. I start in slow-motion, counting through the substeps to keep pace while I do the move (1..2..3..4). Then I repeat it until I can bring it up to full speed.
If you want to learn sleights for cheap, try this book. You may have to pick and choose through the sleights, and there may be better methods to perform some of these sleights now, but it's not bad for under $10.",Good book
Male,22,17.22,66,579,PhD,EN,Web,830,"When I unexpectedly came across a picture of Buckley on the first page of the book, and after hearing the other reviews of how difficult and advanced the techniques in the book were, I couldn't believe my eyes. I was surprised to see the face of a handsome teenager, of which my previous impression was COMPLETELY the opposite to the one I held in my hands. And this guy was a professional card magician at the age of 18, and able to do tricks infront of hundreds of people on-stage in 1908!
I have a feeling that this guy's mystery and skill probably gained him significant success with girls his age. The mysterious effects of these difficult to execute sleights are priceless and dazzling beyond belief. If a 3 columns card trick can make girls believe in magic.. then Buckley's stuff probably knocked their socks off... literally! Believe me, this guy would be able to blow David Blaine out of the water and make him look like Bob Longe.
That being said and out of the way, the book itself is amazing. There are very clearcut photos of Buckley's hands and very impressive card tricks, or as he calls them in the fourth section, ""Card Experiments"". Best of all, this book isn't like most others where the authors seem to purposely be vague (S.W. Erdnase) and not give the best descriptions. Mr. Buckley gives you every detail and is your friend throughout the book, showing you exactly how everything is done without any confusion.
And there is SO much different good stuff in here, that you'll probably never need another book for advanced materials.
It is a great book and a great reference to help you on your way to card excellence and showmanship. You will not be disappointed with this purchase.",Buckley was a card mommer
Male,51,18.86,29,406,diploma,EN,Web,1175,"If you've mastered Hugard and Braue's stuff, if you can do 60 classic passes per minute, if you have all the time in the world to devote to card sleight of hand, then this is the book for you!  Seriously, this is a truly excellent book.  Buckley's sleights, though not for the faint of heart, are superb.  (He must've been one heckuva cardician!) This is a serious, serious card magic book.  But if you are serious yourself, you'll get it.  Of course, you'll overlook the antiquated prose and Buckley's tremendous ego throughout.  (When you read this material you'll forgive Buckley's self-congratulatory tone.) This is a splendid work for those who want to be the best...","Very advanced, but as good as it gets"
Female,37,18.86,98,1278,postgraduate,EN,Web,1183,"I've yet to see a bad review for this book, and there's a reason. This book is terrific. There is however one issue to be addressed. This book is hard!!! Definitely not for beginners, it has some of what I believe are the greatest but hardest card manipulations out there. I definitely recommend it however to the serious card magic enthusiast. There are enough valuable ideas in here to last you a lifetime.",You better know what you're getting into
Male,37,19.68,35,476,postgraduate,EN,Web,1212,"I don't know how well they work, if they're a miracle, they're too expensive for the quantity.  When I opened it, I thought they'd forgotten to send the tatoos.
10 for 3.50 makes this the ultimate ""skimpy product"".",Don't bother
Male,27,19.68,73,840,postgraduate,EN,Web,1241,"These are cute tatoos for those who love pirates, however, the retail price is $1.50 and Amazon's price is MORE THAN DOUBLE.  I have never paid OVER the retail price for an item at Amazon.  I was shocked.  There are only a handful of tatoos, and for 1.50 I wouldn't mind, but to charge 3.50 for an item that sells anywhere else for 1.50 is criminal.  Find it at a local drugstore and save your $.",The worst value I've ever seen
Female,44,20.5,5,75,postgraduate,EN,Web,1307,"While my 3 year old son liked th tattos you'd think that a few more could be supplied.  I think there were something akin to 8-10 total.  A few more skull and cross bone flags would be nice.

The tattoos did seem to transfer well but didn't last longer or less than most other temporary tattoos.",Not enough product
Male,33,20.5,73,982,PhD,EN,Web,535,"There are only few tatoos so in one week they are gone, it could be better if there were more so they can share with brothers or friends. the alternative is to buy like 4 or 5 of these so the kid doesn't get upset when they are gone to quick. Also with one bath they are gone, so they don't last enough like other tatoos (2 TO 5 DAYS).",Good product but...
Female,53,22.96,14,238,graduate,EN,Web,577,"I'd buy again as a gift for a young kid obsessed with pirates.  However, I never actually had any hands-on time with the tattoos.  The tattoos reminded me of my favorite Cracker Jack prize.",Temporary Tattoos were good gift.
Male,29,22.96,82,1150,postgraduate,EN,Web,618,My young son was thrilled to have tattoos just like a real pirate.  These are easy to use and remove.  I great find!,Huge Hit
Female,43,22.96,32,534,graduate,EN,Web,624,"Gorgeous, I love the book and the pictures are beautiful!",Gorgeous pictures!
Male,37,22.96,61,969,graduate,EN,Web,760,Beautiful art work,Five Stars
Female,38,23.78,31,515,PhD,EN,Web,231,These are intricate designs for older children and adults. This book is full of beautiful designs just waiting to be awakened by your choice of colors. Great for creativity.,Wonderful designs.
Female,25,23.78,87,1151,graduate,EN,Web,2139,"This coloring book was so much fun to color.  I love the fact that you can color both sides & blend the colors!!!!  I would recommend this book for anyone that loves Wizards & Dragons & loves to color with fantastic results!!!!!!!!!!
Sharon","WOW, GREAT COLORING BOOK!!!!!!"
Male,62,24.6,4,69,PhD,EN,Web,2162,The stained glass pages are pretty cool. And it is nice how the black outlines are super dark and thick. And that the dragons aren't all fighting with the wizards.,Nice book
Female,23,24.6,73,944,graduate,EN,Web,2173,"My 11 y.o. loved this...and so do I (you know I really bought this because I wanted to see the pictures myself...I'm just lucky enough to have someone I could justify buying it as a present for.)
Dragons and Wizards...says it all!  With the wonderful see-through vellum like pages, that make it ""stained glass.""  Color it with marker, or anything else really (colored pencil, watercolors maybe), and the light shining through the page makes it look luminous and gorgeous!

Even the perfectionist that gets intimidated with art and drawing tends to find these stained glass books easy to get results they are happy with, so it tends to be an enjoyable and confidence building experience. :)",Great pictures
Male,52,27.06,4,80,PhD,EN,Web,2253,Awesome! My 8 year old's favorite Xmas gift! It's 9:15 am xmas morning and he's already colored three of these!!,Perfect!
Male,17,27.06,92,1042,PhD,EN,Web,2261,"This book has wonderful pictures in it, from dragons to wizards. It is much more than just a coloring book. Very pleased and do recommend it for all ages.",Well done....
Female,49,27.06,14,281,graduate,EN,Web,1940,I loved this book. the pictures are suitable to hang in windows or glass doors and the pictures really reflect the light. I recomend this for all ages who love art.,My relaxation
Female,23,27.06,81,1152,PhD,EN,Web,1945,I bought this for my son who loves to draw.  The pictures are simply beautiful and it is a unique way to produce a coloring book.,Beautiful coloring book
Female,40,27.88,17,338,diploma,EN,Web,1970,"The pictures are great , I've done one and gave it to a friend of mine who likes dragons.","The pictures are great, I've done one and gave it to a ..."
Female,32,27.88,73,1314,postgraduate,EN,Web,2793,"Great buy! Can't wait to work on this book. The dragon images are lovely.  Once I'm done coloring, I will frame and hang in a window to let the sun shines through.",Great buy! Can't wait to work on this book
Female,38,30.34,26,551,PhD,EN,Web,195,"Holy cow! Ok, so we use Sharpies to color, and this book is AMAZING! We color one side, and the colors transform on the other side. It's so cool, even my husband colors! The designs are great (and I'm a snob) and the price is VERY good for such a cool product.",Stained Glass Perfection!
Female,22,30.34,75,1159,graduate,EN,Web,107,I gave this as a Christmas present and it seems it went over quite well.,Four Stars
Female,67,31.16,35,715,graduate,EN,Web,811,I absolutely love this book! Its translucent paper make it super fun to use. I have been using Paint Brush Markers and Sakura Gel Pens on it with excellent quality. The only thing that I would recommend is a blank white sheet of paper to make the lines easier to see.,So beautiful!
Male,26,31.16,92,1637,PhD,EN,Web,2814,"Wow, great images on vellum, got this for my husband. He used a combination of colored pencil and marker for pictures, they are beautiful.",Great pictures
Male,46,31.98,36,849,diploma,EN,Web,2829,Very nice book. Just wished there was more pages. Can't wait too start using it.,Very Nice!
Female,33,31.98,61,1280,graduate,EN,Web,629,I love it!,Five Stars
Female,49,31.98,28,664,diploma,EN,Web,3645,Absolutely great pictures even before coloring!,Five Stars
Female,26,31.98,65,1187,graduate,EN,Web,3657,Great purchase and got it in good time.,Five Stars
Female,49,32.8,55,1338,graduate,EN,Web,3667,MY HUSBAND LOVED IT. HE IS IN TO DRAGONS.,Five Stars
Female,29,32.8,47,942,postgraduate,EN,Web,3678,The dragons are really interesting and fun to color.,Five Stars
Female,29,32.8,42,842,graduate,EN,Web,2079,love it,Five Stars
Female,33,32.8,42,904,graduate,EN,Web,2114,cool,Four Stars
Female,49,34.44,52,1328,diploma,EN,Web,2130,It's fun.,Three Stars
Male,35,34.44,60,1395,postgraduate,EN,Web,3865,"<div id=""video-block-R3BD06E4PUN30"" class=""a-section a-spacing-small a-spacing-top-mini video-block""></div><input type=""hidden"" name="""" value=""https://images-na.ssl-images-amazon.com/images/I/B141O4IiwKS.mp4"" class=""video-url""><input type=""hidden"" name="""" value=""https://images-na.ssl-images-amazon.com/images/I/810gEm9-iYS.png"" class=""video-slate-img-url"">So many times I've purchased something based on liking a sample (books, albums, whatever) then it turns out that the best thing about the item was the sample.  That is not the case with this Wizards and Dragons stained glass coloring book.

I hesitated to buy this coloring book for fear I wouldn't like the majority of the images, but to my pleasant surprise, every page contains an image I like.  So, I'm posted this quick video review for anyone else like myself, who might be considering this item, but is hesitating due to not knowing what all the images are.  Hope this helps someone.",I Like Every Image Contained In This Stained Glass Coloring Book
Female,33,35.26,54,1249,diploma,EN,Web,3878,It was so cool the way the pages are transparent so that the coloring shows through and can be hung in a window as a stained glass picture.,Creative stained glass pictures
Male,58,35.26,60,1529,graduate,EN,Web,3885,"Exactly as described, nice pictures, great transaction, thank you!","nice pictures, great transaction"
Female,49,35.26,45,1177,Basic,EN,Web,3887,"5 stars for the delivery. Got it in 2 days after I ordered it. Wow!! As for the coloring book itself, the pages are perforated and you can see through them and your crayons/ pencils show through to the other side. Putting cardboard or a thick piece of paper in between the pages will avoid that. Drawings are nice and you can put them in your windows when done. Thus the perforated pages and thin paper.",Drawings are nice and you can put them in your windows when ...
Male,45,35.26,41,1062,graduate,EN,Web,3896,Great!,Five Stars
Female,50,36.08,50,1338,postgraduate,EN,Web,3955,"Sometimes you need something new and special that gives you 30 minutes of piece. I used these waiting at the dentist or a graduation or something. They are small so they slip into a bag and cheap enough, especially with the 3 for 4 price on amazon.com . The robots and funny faces are a lot of fun. Probably best at 3-4-5 rather than 2 because the stickers are small.

I love all of the great not-licensed-character stuff by Dover.",Great 30 minute toy
Male,71,36.08,46,1014,PhD,EN,Web,3967,"These little books are great! They are small, but perfect for birthday party favors, which is what we used them for! There is a blank page after each page of stickers, so that's where my kids made their robots. They were a huge hit!",great!
Female,29,37.72,51,1175,graduate,EN,Web,405,"This is indeed a small book. This particular ROBOT sticker book was at best, OK.
Why? Well, there's really no space to create multiple robots. Stickers are not easy to remove.
Not recommended unless you just gotta have it to entertain a child. But this may only last ten minutes.
Plus side, small enough to stick in purse for travel.",Only OK ...AT Best
Male,52,37.72,46,1285,graduate,EN,Web,615,I bought several of these as party favors at a robot themed birthday party.  My son really seemed to like it and made a series of different robots.  The only issue is that most of the pages are not such that they stickers can be re-stuck so we really only used most of the configurations once as we made them on regular pages rather than taking pieces on and off the robot at the back of the book.,Fun!
Male,72,37.72,56,1264,postgraduate,EN,Web,876,"I was happy to find this little sticker book.  Inside were facial features & other stickers. The size was just right to use with a robot kit we had found .The grandson was very happy with the whole gift.
 I'd read another review how these little sticker books were given out as birthday party favors. For the price it's a good deal & good product.",Robot themed gift for 6 yr old
Male,18,37.72,55,909,postgraduate,EN,Web,4459,"We had a robot themed first birthday party for our son, and had a really tough time finding little robot items for the guest thank-you bags. Stumbled upon this and took a chance. They were perfect! The book is small, maybe 4x6, and includes stickers of robot arms, legs, heads, etc. that the children can use to build a robot. They were a hit!","Great Party ""Thank You"" Bag Addition"
Female,69,38.54,52,1272,PhD,EN,Web,999,"I thought this would be much bigger.  It's more like a little stocking stuffer.  My kids were 5 and 9, and neither really took to the book.  I'd recommend it for even younger children.",tiny book
Female,53,38.54,59,1681,postgraduate,EN,Web,815,"total waste of money. the stickers do not stick down even once
it is just a tiny amount of stickers which do not work, and that is basically it. I thought the backgrounds would make this special but it just is tiny and does not work.
much better to simply buy packs of stickers and use paper
the activity books in this series are better",save your money
Male,65,39.36,51,1355,postgraduate,EN,Web,326,"Nephew, age 5 loved the booker.",age 5 loved the booker
Male,19,39.36,59,1060,graduate,EN,Web,6215,Very Cute!,Very Cute!
Female,41,39.36,50,1413,postgraduate,EN,Web,6233,"The book is just stickers, it is NOT an activity book. Each sheet of sticker consist of the many pieces to create one robot and there are about four or five robots. So you could create one or multiple robots from the many sticker pieces in this book. There is only one page that doesn't have any stickers and if you are trying to make a robot from the stickers in the books you can only fit one robot in that page.

We thought the small size would be great for their little hands, but If you buy this as an activity book it just doesn't work and I would give it one star because there are no activities in it and your child will need a separate book to put all of the stickers.

If you buy this just for the stickers, they are fun but at $4.00 (current price on Amazon) it doesn't work either, four dollars is a lot of money for these stickers. At that price you are better off buying a sticker activity book from ""early learning"" or ""My Little World"" they are great little books.

I would not recommend this children's book by Dover Publications because of its high cost and very little content.",Just sticker at a premium
Female,70,39.36,48,1177,diploma,EN,Web,978,"My grandson loved this book, he is all about robots and how they work, fun ideas for him to share with a friend.",My grandson loved this book
Male,18,39.36,59,1017,PhD,EN,Web,9507,"This is pretty much just an average sticker book.  It is cute, but didn't have as much variety as I had hoped.  For the price, it is worth it though, my son will enjoy making his own sticker robot.",This is pretty much just an average sticker book
Female,34,39.36,47,1232,PhD,EN,Web,9529,"This is a great book to throw in your bag to have while waiting in line or at a restaurant with a small, alternately bored and energetic,person. My 3-year-old loves that she can put together robots using different parts and create her own or match the pieces to the picture on the back cover. This is a very small book -really a pamphlet almost - which is the best part actually.",This is a great book to throw in your bag to have while ...
Male,72,40.18,55,1322,PhD,EN,Web,9530,AGE APPROPIATE. G'SON LOVED,Five Stars
Female,45,40.18,42,1239,diploma,EN,Web,9560,"its a cute little book, but it's a tiny little guy.",Tiny
Female,62,41,49,1404,postgraduate,EN,Web,9595,"This is a tiny book. Only a few pages of stickers. The stickers don't stick very well after the first time placing them. It did however entertain my son during a trip. Stickers for making 4 different robots, all different colors. I would suggest it for younger kids, my son is 3.","Worked for a trip, Only a few pages"
Female,62,41,56,1605,graduate,EN,Web,9596,This was a gift; have not heard how it worked out.,Four Stars
Male,58,44.28,47,1504,graduate,EN,Web,9597,"Although $1.99 isn't much, it was disappointing to see this small booklet (4 pages) of stickers. Should have read details more closely.",Should be a buck at Dollar Store!
Male,28,44.28,54,1430,graduate,EN,Web,9612,They were ok but not really considered it a book. Really small disappointed!,Really small disappointed!
Female,43,44.28,53,1707,graduate,EN,Web,9635,Great for kindergarten birthday goody bag.,Five Stars
Male,38,44.28,48,1486,PhD,EN,Web,1577,This book is very cute but make sure you look at the size it's very small don't anticipate anything large.,Small book
Female,25,44.28,52,1281,postgraduate,EN,Web,1581,Good product,Five Stars
Female,49,44.28,42,1379,graduate,EN,Web,1592,Great fun for my grandson who loves robots.,Five Stars
Male,56,44.28,51,1651,graduate,EN,Web,1618,My daughter loves these little books.  They're the perfect size to keep in the car or a diaper bag or purse.  I keep them on hand for times when we're stuck waiting in a doctor's office or anywhere else.,They're the perfect size to keep in the car or a diaper ...
Male,38,44.28,55,1703,graduate,EN,Web,249,This was a stocking stuffer for my son.  It was cute and he enjoyed using it a couple of times.  For the price of a little over a dollars didn't mind that he only used it a few times.  It is hard to tell from the picture but this is small.,It was cute and he enjoyed using it a couple of times
Male,69,44.28,41,1152,graduate,EN,Web,518,Very fun on the plane for my 3 & 5 year olds.,Four Stars
Female,44,44.28,44,1424,PhD,EN,Web,2521,Fun gift,robot
Female,23,44.28,57,1326,graduate,EN,Web,930,I was very surprised to see how tiny the book was.  I probably should have looked at the reviews or the description closer.  I guess it's a stocking stuffer now...,I was very surprised to see how tiny the book ...
Male,46,44.28,46,1501,diploma,EN,Web,399,I buy these books to insert in cards to send to my grandsons. They love them.,Lots of Fun for a small amount of money
Female,54,46.74,58,1998,diploma,EN,Web,504,great book,Five Stars
Female,24,46.74,55,1391,graduate,EN,Web,948,Small book but great stickers,Five Stars
Female,36,47.56,60,1951,PhD,EN,Web,4452,"This was a great little activity book. There are only a few pages, but it was awesome for a birthday party give-away and bought me quite a bit of time at a doctor's office.",This was a great little activity book
Female,49,47.56,46,1622,graduate,EN,Web,6646,Grandson loved it,Five Stars
Female,70,48.38,55,1658,graduate,EN,Web,6678,Contains enough stickers to create a tiny robot. Not really worth buying.,One Star
Male,17,48.38,41,830,PhD,EN,Web,6694,Thought it would be larger. A four year old's fingers might have trouble.  However it is a great idea.,However it is a great idea.
Male,46,49.2,49,1777,graduate,EN,Web,6715,This little book is so cute! My kids love it. The cover of the book is a slick surface so you can peel the stickers off and start over again. The inside of the back cover has a robot base you can use to build off of if you so choose.,Getting a surprising amount of use out of this little thing
Female,38,49.2,40,1376,PhD,EN,Web,6720,This is a small book,Five Stars
Female,34,49.2,42,1376,graduate,EN,Web,6721,great,Five Stars
Male,26,49.2,52,1461,postgraduate,EN,Web,6770,a wonderful little sticker book that i put with the robot two sided puzzle in a busy bag for a 3 year old.,a wonderful little sticker book that i put with the robot ...
Female,45,49.2,47,1698,postgraduate,EN,Web,6815,"This was gift for a highly intelligent 4 year old boy who is interested in Robots.  The illustrations are cute, and the peel and stick accessories are reusable.  He enjoys playing with it.",A fun activity book for 4-6 year olds
Female,29,49.2,50,1503,postgraduate,EN,Web,3427,"Cute little book. Wish there was a little more to it, but can't beat it for the price.",Won't keep them occupied for long
Male,46,50.02,42,1548,graduate,EN,Web,3436,"Smaller than we thought, kind of disappointed in it.",Smaller than thought
Male,22,50.02,49,1248,PhD,EN,Web,3478,Inspiring creativity!!,Fun!
Female,25,50.84,41,1160,PhD,EN,Web,3498,"Added this for my son's 3rd birthday present. He had a blast creating his own robots and it lasted for nearly an hour. There are only a few pages, and it would be nice to get more stickers, but I would say it was worth the smiles.",and it would be nice to get more stickers
Female,49,50.84,48,1809,graduate,EN,Web,3524,The book is only 4 pages and it's about the size of a 3x5 note card... not much fun at all.,Small and boring
Male,69,50.84,59,1904,PhD,EN,Web,3525,Very nice product.,Five Stars
Male,28,50.84,55,1673,PhD,EN,Web,3547,I was surprised at the size.  If it was on the information I missed it.  The drawings are cute.  Haven' tried it on a child yet.,Size is off
Male,49,50.84,56,2111,PhD,EN,Web,3619,"It's a bit thin, was expecting more. There is a robot in the back and you cover him with new stickers, the stickers are almost like clothes instead of actual robot parts. It would be nice if there was a section of heads, section of bases and torsos and you could combine them together to build unique robots. You are supposed to put the stickers back in the book when you are finished, I doubt that will work with my son. We will see how long this lasts, I am going to guess about 5 minutes.",A pretty thin book of 38 stickers.
Female,23,50.84,42,1122,postgraduate,EN,Web,3629,"i think there are 4 robots in here to build. i was expecting a lot more. oh well! gotta steer clear of the ""little"" books.","great scenes, but not many of them"
Female,68,51.66,50,1668,postgraduate,EN,Web,6424,Most of the Dover Little Books are high quality. I use them to get those few more dollars for free shipping. My grandsons enjoy looking to find one.  They will play with duplicates of ones  they received before.,"""Engineering fun for little ones"
Male,53,51.66,46,1756,PhD,EN,Web,3165,This create your own robot sticker book is exactly what I was hoping it would be!  I would definitely recommend this to any sticker collector (such as myself) or to any parent/grandparent/aunt/uncle buying this is a gift for a kid! Seven thumbs up!,Love it!
Male,70,51.66,43,1384,PhD,EN,Web,9875,"My four year old robot lover had fun with this.  His five year old brother loved it, too.  It didn't provide hours of entertainment, more like minutes, but it was a fun stocking stuffer and they really appreciated it.",Fun for little ones
Male,68,51.66,48,1601,diploma,EN,Web,515,"Fits perfectly in a party favor bag. Really great for travelling and any kids who like stickers will love dressing up the robot. The stickers do loose their stickiness after a couple of times but since there are a couple of robot ""outfits,"" it's feel like it's worth the price. It would be nice if there was a special deal in buying in bulk.",Cute party favor item
Male,67,51.66,52,1762,graduate,EN,Web,283,"This book is probably smaller than you think. Only a few pages, and will entertain a kid for 10-30 mins depending on their imagination. At less than $2 I can think of worse ways to spend money on a kid. Although Legos are probably a better investment because everyone loves playing with legos for years, and years.","Hey, Robots are cool!"
Female,18,51.66,54,1222,graduate,EN,Web,2285,"My 3 year old niece loves robots. She loved playing with this sticker book. It's a small pocket type book - they are inexpensive, I would advise buying more than one. Great for entertaining them on trips, outings etc.",Fun for a 3 year old
Female,38,52.48,42,1541,graduate,EN,Web,2286,"I added this to a birthday present for my 3-year old nephew. He loved it, but I was surprised at how small this was. In the back, there is a picture of a robot, and you ""dress"" him using the stickers.","Nice, but very small"
Male,18,52.48,46,1057,graduate,EN,Web,2296,If you have a child interested in robots this is a fun activity for them.  It allows the child to build a robot with colorful stickers.,This is a little sticker book for a little kid?
Female,17,53.3,48,1071,postgraduate,EN,Web,2324,"This is a VERY small book, but for $2, it was a fun 10 minute activity for my robot loving 3 year old.",Cute
Female,18,53.3,50,1167,graduate,EN,Web,2326,"Very interesting. Is creative, increase knowledge and hours of entertainment. Bought for my grandson for Christmas. I know that he will enjoy it very much.",Hours of entertaintment.
Female,65,53.3,43,1547,postgraduate,EN,Web,2371,"This was a great little book for my Robot ""Boy's Night"" Party. Loved the robot craft in the back of the book:) Great price!",Robot Time
Female,49,53.3,59,2332,postgraduate,EN,Web,2387,I bought this as a Christmas gift for my grandson.  Its a sticker book. So how can I go wrong with this gift.,Stickers
Female,50,54.94,43,1752,postgraduate,EN,Web,2404,Not sure why there are so many rave reviews for this product. It is literally the size of an index card and only about 4 pages long (some activity book!) The stickers are bright and colorful but there are only enough to make about 3-4 sticker robots. You could probably find something similar at the dollar store.,Smallest Activity book EVER
Female,49,54.94,57,2322,graduate,EN,Web,5429,but definitly NOT...  tiny book..  make robot with stickers that comes inside... whoo whoo big deal wow faint wow...  thats how bad,i thought wow
Male,29,54.94,56,1880,graduate,EN,Web,5430,"Lots of ""parts"" stickers to customize your robot.  There is a sticky page that you can use to build the robot or you can just put them on paper.",fun activity for the kids
Female,38,54.94,40,1536,graduate,EN,Web,5453,"I am using these little sticker books as party favors for my son's birthday partyl. He will have a robot party. These books complement the theme quite nicely.

Why buy cheap plastic toys as party favors? They will just end up broken and in the trash a couple of days later.

I enjoy these mini-Dover books. When the kids need a quiet activity, I pull them out. I carry couple of them with me in my purse/diaper bag. The kids will use them in restaurants or at church.",Dover products are top notch!
